code,name,sector
001322,箭牌家居,C30非金属矿物制品业
001323,慕思股份,C21家具制造业
001324,长青科技,C37铁路、船舶、航空航天和其他运输设备制造业
001325,元创股份,C29橡胶和塑料制品业
001326,联域股份,C38电气机械和器材制造业
001328,登康口腔,C26化学原料和化学制品制造业
001330,博纳影业,R87广播、电视、电影和录音制作业
001331,胜通能源,D45燃气生产和供应业
001332,锡装股份,C33金属制品业
001333,光华股份,C26化学原料和化学制品制造业
001335,信凯科技,F51批发业
001336,楚环科技,C35专用设备制造业
001337,四川黄金,B09有色金属矿采选业
001338,永顺泰,C15酒、饮料和精制茶制造业
001339,智微智能,C39计算机、通信和其他电子设备制造业
001356,富岭股份,C29橡胶和塑料制品业
001358,兴欣新材,C26化学原料和化学制品制造业
001359,平安电工,C30非金属矿物制品业
001360,南矿集团,C35专用设备制造业
001365,天海电子,C36汽车制造业
001366,播恩集团,C13农副食品加工业
001367,海森药业,C27医药制造业
001368,通达创智,C29橡胶和塑料制品业
001369,双欣材料,C26化学原料和化学制品制造业
001373,翔腾新材,C39计算机、通信和其他电子设备制造业
001376,百通能源,D44电力、热力生产和供应业
001378,德冠新材,C29橡胶和塑料制品业
001379,腾达科技,C34通用设备制造业
001380,华纬科技,C34通用设备制造业
001382,新亚电缆,C38电气机械和器材制造业
001386,马可波罗,C30非金属矿物制品业
001387,雪祺电气,C38电气机械和器材制造业
001388,信通电子,C39计算机、通信和其他电子设备制造业
001389,广合科技,C39计算机、通信和其他电子设备制造业
001390,古麒绒材,C19皮革、毛皮、羽毛及其制品和制鞋业
001391,国货航,G56航空运输业
001393,维通利,C38电气机械和器材制造业
001395,亚联机械,C35专用设备制造业
001396,誉帆科技,M74专业技术服务业
001400,江顺科技,C35专用设备制造业
001696,宗申动力,C34通用设备制造业
001872,招商港口,G55水上运输业
001896,豫能控股,D44电力、热力生产和供应业
001914,招商积余,K70房地产业
001965,招商公路,G54道路运输业
001979,招商蛇口,K70房地产业
002001,新和成,C27医药制造业
002003,伟星股份,C18纺织服装、服饰业
002004,华邦健康,C26化学原料和化学制品制造业
002005,ST德豪,C38电气机械和器材制造业
002006,精工科技,C35专用设备制造业
002007,华兰生物,C27医药制造业
002008,大族激光,C35专用设备制造业
002009,天奇股份,C35专用设备制造业
002010,传化智联,L72商务服务业
002011,盾安环境,C34通用设备制造业
002012,凯恩股份,C22造纸和纸制品业
002014,永新股份,C29橡胶和塑料制品业
002015,协鑫能科,D44电力、热力生产和供应业
002016,世荣兆业,K70房地产业
002017,东信和平,C39计算机、通信和其他电子设备制造业
002019,亿帆医药,C27医药制造业
002020,京新药业,C27医药制造业
002021,中捷资源,C35专用设备制造业
002022,科华生物,C27医药制造业
002023,海特高新,C43金属制品、机械和设备修理业
002024,ST易购,F52零售业
002025,航天电器,C39计算机、通信和其他电子设备制造业
002026,山东威达,C38电气机械和器材制造业
002027,分众传媒,L72商务服务业
002028,思源电气,C38电气机械和器材制造业
002029,七匹狼,C18纺织服装、服饰业
002030,达安基因,C27医药制造业
002031,巨轮智能,C35专用设备制造业
002032,苏泊尔,C38电气机械和器材制造业
002033,丽江股份,N78公共设施管理业
002034,旺能环境,D44电力、热力生产和供应业
002035,华帝股份,C38电气机械和器材制造业
002036,联创电子,C39计算机、通信和其他电子设备制造业
002037,保利联合,C26化学原料和化学制品制造业
002038,双鹭药业,C27医药制造业
002039,黔源电力,D44电力、热力生产和供应业
002040,南京港,G55水上运输业
